the_geom,name,bin,doitt_id,shape_area,base_bbl,objectid,construction_year,feature_code,geometry_source,ground_elevation,height_roof,last_edited_date,last_status_type,map_pluto_bbl,length,geometry
"MULTIPOLYGON (((-73.991158690776 40.714085607053, -73.991229694836 40.714079760965, -73.991250106311 40.714078080364, -73.991250846478 40.714083285371, -73.991269652207 40.714215518676, -73.991178235301 40.714223045381, -73.991172330553 40.714181521484, -73.991158690776 40.714085607053)))",,1003590,201068,"207,82421875",1002830063,22.588,1.9,2.1,Photogrammetric,37.0,"52,55",2017 Aug 22 07:35:35 PM,constructed,1002830063,"61,07605486283",POINT (-73.991214 40.714151)
"MULTIPOLYGON (((-73.996523391405 40.719841929436, -73.996481531662 40.71982796846, -73.996475698348 40.719818562456, -73.996391259333 40.719790400897, -73.996376790067 40.719793036235, -73.996374983974 40.719792433737, -73.996360889114 40.719787732631, -73.996289633705 40.719763967702, -73.99631578703 40.719699242589, -73.996370755607 40.719717575114, -73.996406966191 40.719729652087, -73.996412108224 40.719740194517, -73.996489954825 40.719766157716, -73.996494220793 40.719758752953, -73.996540716451 40.719774260238, -73.996563921088 40.719781999015, -73.996590881129 40.719790990507, -73.996565269151 40.719851370737, -73.996563587094 40.719855335632, -73.996523391405 40.719841929436)))",,1006988,649611,"306,22265625",1004710047,746.180,1.92,2.1,Photogrammetric,32.0,"62,16",2017 Aug 22 06:13:58 PM,constructed,1004710047,"89,05260378545",POINT (-73.99644 40.719777)
"MULTIPOLYGON (((-73.996564362795 40.71387224092, -73.996561393483 40.713849335443, -73.996613933518 40.713845391862, -73.996648694318 40.713842783199, -73.996653672403 40.713881189222, -73.996671613903 40.714019601827, -73.996584312839 40.714026154088, -73.996564362795 40.71387224092)))",,1003521,33590,"254,82421875",1002810056,817.117,1.91,2.1,Photogrammetric,39.0,"36,41",2017 Aug 22 07:10:09 PM,constructed,1002810056,"71,71836963146",POINT (-73.996617 40.713934)
"MULTIPOLYGON (((-74.007214615412 40.71116272737, -74.006970726854 40.710961921251, -74.007105854043 40.710866891066, -74.007361839455 40.711067174733, -74.007214615412 40.71116272737)))",,1089791,1272401,"852,2109375",1000900014,1.041.078,2.013,2.1,Other (Manual),,595,2019 Jan 22 05:36:51 PM,constructed,1000907503,"123,13251215038",POINT (-74.007165 40.711015)
"MULTIPOLYGON (((-74.009200765609 40.709043041962, -74.009195759539 40.70904027329, -74.009118893353 40.708997761769, -74.009097123494 40.708985721856, -74.00913561353 40.708947770363, -74.009184948601 40.708965889225, -74.009274103986 40.708998630966, -74.009288236594 40.709003821274, -74.009227552277 40.709058210729, -74.009200765609 40.709043041962)))",,1079032,1107967,"158,61328125",1000640001,1.070.402,2.006,2.1,Other (Manual),26.0,206,2024 Dec 30 08:49:41 PM,constructed,1000640001,"54,37354770764",POINT (-74.009192 40.709001)
"MULTIPOLYGON (((-74.005771399414 40.718871815819, -74.005821572969 40.718808852331, -74.005953840073 40.718642864452, -74.00600433233 40.718666156223, -74.006034098633 40.718679887444, -74.005851659332 40.718908839838, -74.005771399414 40.718871815819)))",,1001983,430409,"410,875",1001780009,1.037.196,1.867,2.1,Other (Manual),12.0,80,2017 Aug 22 06:12:56 PM,constructed,1001787501,"99,48684544287",POINT (-74.005903 40.718776)
"MULTIPOLYGON (((-74.009587080593 40.712187399108, -74.009656647662 40.712220906703, -74.009746471895 40.712264171378, -74.009816005987 40.712297663571, -74.009823233739 40.712301145229, -74.009612377381 40.712554618105, -74.009589873431 40.712581671327, -74.009550546176 40.712562728751, -74.009323300906 40.712453273186, -74.00955665952 40.712172746724, -74.009587080593 40.712187399108)))",,1001238,404926,"1.712,3984375",1000880011,1.036.680,1.84,2.1,Photogrammetric,27.0,"58,47",2020 Jan 28 05:17:39 PM,constructed,1000880011,"167,72737948694",POINT (-74.009573 40.712377)
"MULTIPOLYGON (((-73.994881562649 40.713093170961, -73.994885960369 40.713123750699, -73.994905396292 40.713122132442, -73.994922323682 40.713239836244, -73.994927419299 40.713275266162, -73.994902880251 40.713277310139, -73.9946333175 40.713299756631, -73.994607432183 40.713119767644, -73.994606896382 40.713116042206, -73.994613272852 40.713115511203, -73.994677367739 40.713110174154, -73.994881562649 40.713093170961)))",,1078948,669484,"884,07421875",1002800022,827.541,1.9,2.1,Photogrammetric,34.0,"61,57",2017 Aug 22 05:57:03 PM,constructed,1002800022,"120,15357352943",POINT (-73.994766 40.713197)
"MULTIPOLYGON (((-74.00732275685 40.714553660021, -74.007392049143 40.71446659423, -74.007464169355 40.714375974798, -74.007464325582 40.714376046829, -74.007471372339 40.714379293612, -74.007471719115 40.714379453881, -74.007541843506 40.714411765029, -74.007400431132 40.714589450347, -74.00732275685 40.714553660021)))",,1001470,839596,"308,38671875",1001350021,440.235,1.915,2.1,Photogrammetric,32.0,"53,31",2017 Aug 22 05:33:55 PM,constructed,1001350021,"81,19044755841",POINT (-74.007432 40.714483)
"MULTIPOLYGON (((-73.997658871341 40.714707620697, -73.997705304753 40.714649045221, -73.997750206599 40.714592402192, -73.99778954107 40.71454278122, -73.997803664066 40.714524965789, -73.997834072331 40.714486605515, -73.997915835244 40.714517081201, -73.99782685694 40.714624271831, -73.997743051544 40.714725230059, -73.997658871341 40.714707620697)))",,1001715,426617,"359,47265625",1001620052,462.046,1.92,2.1,Photogrammetric,40.0,"41,47",2017 Aug 22 06:15:59 PM,constructed,1001620052,"93,84970291509",POINT (-73.997789 40.714608)
"MULTIPOLYGON (((-73.998088746263 40.714247265115, -73.998053208414 40.714268301348, -73.998044909776 40.714273213492, -73.997996404506 40.714337144408, -73.997888045615 40.714269813099, -73.997891323878 40.714268229161, -73.997911530756 40.714258467994, -73.99802093822 40.714205615355, -73.998088746263 40.714247265115)))",,1001703,509610,"198,6484375",1001620033,434.746,1.92,2.1,Photogrammetric,37.0,"54,97829395",2017 Aug 22 05:46:06 PM,constructed,1001620033,"59,87865928214",POINT (-73.997991 40.714267)
"MULTIPOLYGON (((-73.994280254155 40.718186671867, -73.994342684162 40.718067486131, -73.994405586251 40.717947397171, -73.994410318784 40.717938360782, -73.994413551537 40.717932188842, -73.994429967423 40.717900849182, -73.994440905026 40.717879969582, -73.994464070466 40.717835744843, -73.994545916891 40.717860563205, -73.994522752679 40.717904787961, -73.994512955021 40.717923494692, -73.99445467086 40.718034767939, -73.994421379743 40.718098324337, -73.994362102125 40.718211491259, -73.994280254155 40.718186671867)))",,1003933,185461,"544,203125",1003040019,86.988,1.91,2.1,Photogrammetric,36.0,"67,15",2017 Aug 22 06:05:54 PM,constructed,1003040019,"130,53683122166",POINT (-73.994413 40.718024)
"MULTIPOLYGON (((-74.005884051015 40.719420445834, -74.005948130531 40.719450277335, -74.005852142275 40.719569636747, -74.005788062687 40.719539804292, -74.005884051015 40.719420445834)))",,1002179,2083,"171,875",1001910013,1.056.321,1.809,2.1,Photogrammetric,8.0,"31,51",2020 Jan 28 05:15:08 PM,constructed,1001910013,"57,80466196668",POINT (-74.005868 40.719495)
"MULTIPOLYGON (((-73.995482830787 40.71845621646, -73.995490514157 40.718441709544, -73.995566797958 40.718465098751, -73.99556132811 40.718475426491, -73.995612346156 40.718491068505, -73.995610556413 40.718494448051, -73.995641117309 40.718503818118, -73.995574798495 40.718629035117, -73.995493218238 40.718604022088, -73.995416935488 40.718580632832, -73.995482830787 40.71845621646)))",,1090573,694430,"398,8203125",1002390015,949.799,2.016,2.1,Photogrammetric,33.0,"33,67",2018 Jun 08 03:15:23 PM,constructed,1002390015,"81,88720572871",POINT (-73.995529 40.718538)
"MULTIPOLYGON (((-74.00822368955 40.712934102317, -74.008140412692 40.713039961475, -74.008097677867 40.713094285999, -74.008045753532 40.713070635025, -74.007971336554 40.713165230751, -74.007888892031 40.713270032466, -74.007506146188 40.713095696678, -74.007441288673 40.713066154233, -74.007614693197 40.712845729376, -74.007724163486 40.712706574256, -74.007742008378 40.712714701968, -74.007785546003 40.712734532781, -74.007883250413 40.712779036576, -74.00822368955 40.712934102317)))",,1001408,99299,"3.758,8515625",1001240024,723.294,1.964,2.1,Photogrammetric,36.0,"362,28",2017 Aug 22 06:09:26 PM,constructed,1001247502,"252,71852637077",POINT (-74.007823 40.712989)
"MULTIPOLYGON (((-74.016363971294 40.710561763955, -74.016811093569 40.710655955107, -74.016786947977 40.710719526605, -74.016800464421 40.710722499021, -74.016781938626 40.7107712734, -74.016667468362 40.711072651443, -74.016661642097 40.711071369959, -74.016648233372 40.71110667193, -74.016624625562 40.71116882861, -74.016602512566 40.711227046234, -74.01656418194 40.711327961213, -74.01656004505 40.711338854389, -74.0163396144 40.711290374467, -74.016348526879 40.711266911289, -74.01636572501 40.711221629353, -74.016385456355 40.711169683272, -74.016406006061 40.711115578546, -74.016415163301 40.711091471462, -74.016394118696 40.711086843133, -74.016292907701 40.711064583366, -74.016217916694 40.711048090292, -74.016182232515 40.711040241958, -74.016183256696 40.711037545684, -74.016194208093 40.711008711583, -74.016363971294 40.710561763955)))",,1083373,1117717,"4.662,27734375",1000160100,426.109,1.983,2.1,Photogrammetric,16.0,"83,34453318",2017 Aug 22 07:14:41 PM,constructed,1000160100,"314,07513672706",POINT (-74.0165 40.710911)
"MULTIPOLYGON (((-74.011493011186 40.706083064341, -74.011778582464 40.706207183593, -74.011886977723 40.706254296217, -74.011936167766 40.706275676474, -74.011930026131 40.70628799881, -74.01182784304 40.706493037822, -74.011826750031 40.706495232481, -74.01165826383 40.706422002065, -74.011382281081 40.706302049138, -74.011366488387 40.706295185199, -74.011369135919 40.706290747217, -74.011453007393 40.706150133027, -74.011489908222 40.706088266006, -74.011493011186 40.706083064341)))",,1000819,557250,"1.972,3671875",1000240029,891.265,1.932,2.1,Photogrammetric,16.0,"561,44",2017 Aug 22 05:28:12 PM,constructed,1000240029,"184,57640664587",POINT (-74.011655 40.706288)
"MULTIPOLYGON (((-74.014477920519 40.704156409688, -74.014482418282 40.704145859627, -74.014457669616 40.704139749164, -74.014490704439 40.704062256869, -74.014500049375 40.704064563704, -74.014511824189 40.704036943523, -74.014580361605 40.704053864482, -74.014568588001 40.70408148467, -74.014575921242 40.704083295571, -74.01454288769 40.704160788791, -74.014518088129 40.70415466574, -74.014513590372 40.704165215803, -74.014477920519 40.704156409688)))",,1088314,666575,"160,30859375",1000030001,1.057.081,1.951,2.1,Other (Manual),15.0,20,2017 Aug 10 03:11:55 PM,constructed,1000030001,"55,65161627889",POINT (-74.014521 40.704102)
"MULTIPOLYGON (((-73.991145825778 40.717031806062, -73.991124171779 40.717025378353, -73.991065943763 40.71700809576, -73.990925094126 40.716966288464, -73.991031386567 40.716758971408, -73.991325941311 40.716846401102, -73.991219649648 40.717053718427, -73.991145825778 40.717031806062)))",,1003988,230579,"1.150,34765625",1003080016,150.385,1.91,2.1,Photogrammetric,40.0,"61,64",2017 Aug 22 06:59:28 PM,constructed,1003080016,"135,76292425855",POINT (-73.991126 40.716906)
"MULTIPOLYGON (((-74.017730332284 40.709208524706, -74.017814643298 40.709048715071, -74.017833185975 40.709054380017, -74.017967470178 40.709095405335, -74.018008969954 40.70910808345, -74.018016238092 40.709094307192, -74.018026058989 40.709090074152, -74.017992315731 40.709044736891, -74.017975292457 40.709052074215, -74.017968419014 40.70905503707, -74.017954035768 40.709035712542, -74.017959569782 40.709033327125, -74.017952431433 40.709023735993, -74.017940064209 40.709029066246, -74.017856116187 40.709009838077, -74.017849479787 40.709000921344, -74.017811852644 40.708950367069, -74.017839209448 40.708886674175, -74.017915633589 40.708853735111, -74.018001706922 40.70887351852, -74.018011340722 40.708886461862, -74.018045489957 40.708932342063, -74.018018243728 40.708997302909, -74.018006270533 40.709002463811, -74.018013043091 40.709011563318, -74.018019225516 40.709008898638, -74.018032886652 40.709027251619, -74.018010040664 40.709037097784, -74.018044643374 40.70908358846, -74.018050033033 40.709081266097, -74.018070401289 40.709085445775, -74.018123984775 40.708868279967, -74.018334379995 40.708956883965, -74.018262839297 40.709238695017, -74.018079064369 40.709315063066, -74.017977036564 40.709283893444, -74.017730332284 40.709208524706)))",,1000544,1701,"2.772,93359375",1000160065,267.546,1.987,2.1,Other (Manual),13.0,235,2017 Aug 22 07:09:17 PM,constructed,1000167505,"326,58649967061",POINT (-74.018049 40.709092)
"MULTIPOLYGON (((-73.996800599215 40.716327700288, -73.996875990772 40.716205579646, -73.99691430137 40.716219272938, -73.996938844493 40.716228044563, -73.996863451842 40.716350165246, -73.996800599215 40.716327700288)))",,1002427,581282,"153,1875",1002020014,685.408,1.91,2.1,Photogrammetric,44.0,"36,34",2017 Aug 22 07:05:44 PM,constructed,1002020014,"55,0758612381",POINT (-73.99687 40.716278)
"MULTIPOLYGON (((-73.992012947213 40.718597919678, -73.992029185696 40.718566414657, -73.992039444313 40.7185694753, -73.992051741841 40.718545615334, -73.992059035777 40.71854779237, -73.992106947268 40.718454836008, -73.99209915982 40.718452512158, -73.992109738404 40.718431986656, -73.992099974509 40.718429073737, -73.992114315254 40.718401249859, -73.992223230624 40.718433747669, -73.992209448677 40.718460487384, -73.992197237289 40.718456843094, -73.992167625352 40.718514294528, -73.992159469825 40.718511860795, -73.992144418784 40.718541063311, -73.992152574315 40.718543496144, -73.992125179594 40.71859664418, -73.992137392187 40.718600288478, -73.992121862854 40.718630417583, -73.992012947213 40.718597919678)))",,1005568,44581,"328,203125",1004180042,598.212,1.9,2.1,Photogrammetric,40.0,"79,7",2017 Aug 22 05:42:16 PM,constructed,1004180042,"97,1567676635",POINT (-73.992118 40.718516)
"MULTIPOLYGON (((-73.998171706003 40.714129322085, -73.99816855694 40.714124038739, -73.998163412643 40.714115409965, -73.998099771161 40.714008659704, -73.99805130233 40.713927358994, -73.998191569386 40.713865054049, -73.998198185024 40.713862115786, -73.998260393181 40.713975272206, -73.998347559746 40.714133826392, -73.998376577096 40.714186610233, -73.998362124466 40.714191036938, -73.998306629992 40.714208035976, -73.998314781421 40.714220194789, -73.998241212732 40.714245910472, -73.998171706003 40.714129322085)))",,1001726,219461,"928,12890625",1001620039,877.342,1.92,2.1,Other (Manual),33.0,115,2017 Aug 22 06:52:13 PM,constructed,1001627501,"141,33885237965",POINT (-73.998215 40.714053)
"MULTIPOLYGON (((-73.991443948165 40.716295820813, -73.991382603476 40.716277550287, -73.991417094738 40.716210504464, -73.991413292193 40.716200876824, -73.991420106151 40.716187631725, -73.991442756975 40.716143602957, -73.991511693447 40.716164134292, -73.991583648967 40.716185565416, -73.99150301696 40.716342297824, -73.991431062479 40.71632086665, -73.991443948165 40.716295820813), (-73.99147806411 40.716229506159, -73.991466936035 40.716226191456, -73.991447483829 40.716264003344, -73.991452539011 40.716279120586, -73.99147806411 40.716229506159)))",,1003995,391509,"364,5078125",1003080028,54.786,1.9,2.1,Other (Manual),36.0,58,2019 Feb 28 09:12:14 PM,constructed,1003080028,"99,92735837914",POINT (-73.991482 40.716238)
"MULTIPOLYGON (((-73.997128703514 40.718786552914, -73.997154308062 40.71879557846, -73.997353969091 40.71886596258, -73.997415194581 40.718887545593, -73.997363916216 40.718971754726, -73.997261358026 40.71893560136, -73.99723135184 40.718925024152, -73.997253116485 40.718889281629, -73.997220861606 40.718877911016, -73.997225794988 40.718869808346, -73.997104118233 40.71882691496, -73.997128703514 40.718786552914)))",,1077452,796685,"350,2890625",1002370011,437.881,1.9,2.1,Photogrammetric,28.0,"66,92",2017 Aug 22 06:00:17 PM,constructed,1002370011,"97,590189362",POINT (-73.997276 40.71888)
"MULTIPOLYGON (((-74.015784151771 40.705535786776, -74.015829846758 40.705546099463, -74.015850513289 40.70555076397, -74.015844465502 40.70556628332, -74.015725252338 40.705872187256, -74.01566014857 40.706039244634, -74.015651326287 40.706061883794, -74.015636729205 40.706058589006, -74.015599646587 40.706050220181, -74.015591795208 40.706070365689, -74.015385380661 40.706023780287, -74.015337558872 40.706012986835, -74.015349070543 40.705983449421, -74.015403361169 40.705844140229, -74.015423385266 40.705792757957, -74.015499640227 40.70559708545, -74.015544598278 40.705481721144, -74.015784151771 40.705535786776)))",,1087080,339135,"2.871,8828125",1000150001,1.041.626,1.902,2.1,Other (Manual),8.0,270,2017 Aug 22 06:01:56 PM,constructed,1000157501,"233,7581807552",POINT (-74.015594 40.70578)
"MULTIPOLYGON (((-74.00734001131 40.71908168578, -74.007230666208 40.719071399872, -74.007203795951 40.71906051259, -74.007196720347 40.719057644908, -74.007119887707 40.719026513653, -74.007153904736 40.718832579504, -74.007234757572 40.718840788903, -74.007239984448 40.718810990697, -74.007234632175 40.718808634398, -74.007235417528 40.718803804013, -74.007286838649 40.718776554036, -74.007380020341 40.718783519848, -74.007427311256 40.718813461466, -74.007424922121 40.718828163347, -74.00740783623 40.718933309801, -74.007383067151 40.719085736221, -74.00734001131 40.71908168578)))",,1002017,363148,"1.171,125",1001790066,88.005,1.915,2.1,Photogrammetric,9.0,"129,91",2017 Aug 22 06:23:07 PM,constructed,1001790066,"139,2734486153",POINT (-74.007281 40.718934)
"MULTIPOLYGON (((-73.998119762608 40.712820135407, -73.998135771137 40.712817504374, -73.998256267612 40.712797703128, -73.998288414826 40.712792420313, -73.998316763002 40.712841118551, -73.998262725476 40.712850528987, -73.998204635799 40.712860644435, -73.998134716325 40.712872820031, -73.998126366759 40.712843404712, -73.998119762608 40.712820135407)))",,1081971,712500,"155,83984375",1002790015,332.353,1.83,2.1,Photogrammetric,27.0,"62,52905715",2017 Aug 22 05:35:23 PM,constructed,1002790015,"55,73528030492",POINT (-73.998215 40.712832)
"MULTIPOLYGON (((-73.990468289737 40.714363426133, -73.990456994215 40.714283994761, -73.990549597136 40.714276371471, -73.990553439587 40.714303389805, -73.990566372707 40.714394337932, -73.9905053485 40.714375106115, -73.990468289737 40.714363426133)))",,1003600,778096,"151,1796875",1002830074,2.008,1.9,2.1,Photogrammetric,34.0,"51,38",2017 Aug 22 06:02:54 PM,constructed,1002830074,"51,35266466624",POINT (-73.990513 40.71433)
"MULTIPOLYGON (((-74.006330451722 40.717492460666, -74.006402938555 40.717399180007, -74.006493110737 40.717283140611, -74.006649673119 40.717353581287, -74.006619609508 40.717392268939, -74.006537898554 40.717497420784, -74.006487019158 40.717562896158, -74.006374092629 40.717512092981, -74.006330451722 40.717492460666)))",,1001958,179881,"723,13671875",1001760004,175.253,1.915,2.1,Photogrammetric,21.0,"73,89",2017 Aug 22 07:20:34 PM,constructed,1001760004,"111,89347726765",POINT (-74.00649 40.717423)
"MULTIPOLYGON (((-74.00204401058 40.720185029112, -74.002098370184 40.72012114236, -74.00230420786 40.719879228143, -74.002339616407 40.719903936519, -74.0024385453 40.719972968454, -74.00243280404 40.719979715196, -74.002194881017 40.720259340008, -74.002096166822 40.72021071882, -74.00204401058 40.720185029112)))",,1003009,155118,"1.036,46484375",1002310005,1.055.604,1.857,2.1,Photogrammetric,12.0,"76,72",2020 Jan 28 05:20:18 PM,constructed,1002310005,"143,8513263886",POINT (-74.002245 40.720074)
"MULTIPOLYGON (((-74.014492640015 40.705111239341, -74.014514838599 40.705055665067, -74.014534271843 40.70506015977, -74.01454276453 40.705038898517, -74.014488038587 40.705026238822, -74.014438544322 40.705014789633, -74.014457921086 40.704966281138, -74.014332634783 40.704937299432, -74.014308988498 40.70499649751, -74.01434846791 40.705005630087, -74.01431845175 40.705080777924, -74.014264059024 40.705065858697, -74.014096127375 40.705019796604, -74.014178666352 40.70481315685, -74.014186734541 40.704792956477, -74.014190458193 40.704792014983, -74.014243669596 40.704778557466, -74.014280742893 40.704786182908, -74.014501745081 40.704831638317, -74.014760349939 40.704884827484, -74.014788271005 40.704921395481, -74.014684998869 40.70515576417, -74.014492640015 40.705111239341)))",,1000043,50468,"2.373,62890625",1000130001,1.046.758,1.887,2.1,Photogrammetric,14.0,"178,64",2020 Jan 28 05:18:02 PM,constructed,1000130001,"265,69131067213",POINT (-74.014451 40.704951)
"MULTIPOLYGON (((-74.004463312337 40.719624152833, -74.004476132829 40.719608187194, -74.004986643543 40.7198455046, -74.00498740591 40.719863287837, -74.004989665744 40.7199160216, -74.005008479645 40.720354968021, -74.004889288398 40.720401048634, -74.004883228644 40.720403391118, -74.004456445094 40.720204995498, -74.004415481459 40.720185953094, -74.004415448318 40.720185938687, -74.004163029327 40.72006859635, -74.004121795997 40.720049428681, -74.004403037128 40.719699211758, -74.004463312337 40.719624152833)))",AT&T Telephone Building,1002192,731108,"6.831,28515625",1001920001,1.047.718,1.914,2.1,Photogrammetric,11.0,"462,89",2020 Jan 28 05:21:14 PM,constructed,1001920001,"332,49262618402",POINT (-74.004637 40.720009)
"MULTIPOLYGON (((-73.995462672969 40.713859275965, -73.995459371487 40.713836319117, -73.995471703802 40.713826975904, -73.995466994663 40.713794243058, -73.995452885636 40.713791225791, -73.9954445178 40.713733053373, -73.995520481024 40.713726726663, -73.995536092142 40.713725426932, -73.995544458873 40.713783596641, -73.995531720922 40.713788853329, -73.995536428909 40.713821586173, -73.995550899834 40.713828379285, -73.995555128753 40.713857785623, -73.995536444134 40.713859341883, -73.995540157299 40.713885155164, -73.995536269599 40.713885479198, -73.995490158051 40.71388931898, -73.995486446089 40.713863505697, -73.995463555415 40.713865412079, -73.995462672969 40.713859275965)))",,1003500,797193,"204,640625",1002810025,931.158,1.91,2.1,Photogrammetric,38.0,"71,68",2017 Aug 22 05:39:41 PM,constructed,1002810025,"70,72157813678",POINT (-73.995501 40.713803)
"MULTIPOLYGON (((-73.994932911482 40.713963496989, -73.995022089612 40.713956805581, -73.995023268848 40.71396590169, -73.995023605941 40.713968505981, -73.995026706886 40.713996667784, -73.995027251283 40.713996629986, -73.995027371927 40.713997559318, -73.995046038681 40.714141592292, -73.994956860305 40.714148284619, -73.994932911482 40.713963496989)))",,1003509,111841,"271,91015625",1002810038,406.044,1.92,2.1,Photogrammetric,37.0,"38,63",2017 Aug 22 05:34:33 PM,constructed,1002810038,"74,5511145072",POINT (-73.994989 40.714053)
"MULTIPOLYGON (((-73.998295820775 40.718218039041, -73.99837428196 40.718090529742, -73.998450586404 40.718117710889, -73.998459085325 40.718120738518, -73.998416601748 40.718189778253, -73.998380624266 40.718248247875, -73.998351289277 40.71823779794, -73.998295820775 40.718218039041)))",,1079546,38093,"215,54296875",1002060013,334.583,1.9,2.1,Photogrammetric,27.0,"41,97",2017 Aug 22 05:35:12 PM,constructed,1002060013,"62,1906038145",POINT (-73.998377 40.718169)
"MULTIPOLYGON (((-74.008700468136 40.709335736692, -74.0087776207 40.709260512935, -74.008828070017 40.709211324056, -74.00886721945 40.709173152879, -74.008882478541 40.70916870948, -74.008892394878 40.709165822576, -74.008959118255 40.709242766082, -74.008981908984 40.709269046625, -74.008883297573 40.709373884587, -74.008846984661 40.709412490497, -74.008751771308 40.70936261216, -74.008700468136 40.709335736692)))",,1001095,376436,"566,16015625",1000650004,161.709,1.965,2.1,Photogrammetric,25.0,"27,57",2017 Aug 22 07:40:50 PM,constructed,1000650004,"97,08343669858",POINT (-74.00885 40.709293)
"MULTIPOLYGON (((-73.999088304847 40.715471677183, -73.999080602719 40.715469029621, -73.999072635492 40.715466290204, -73.999110656011 40.71540226331, -73.999118952241 40.715405128798, -73.99919395919 40.715431032529, -73.999156002644 40.71549495139, -73.999088304847 40.715471677183)))",,1079237,751338,"104,98828125",1001640016,303.521,1.915,2.1,Photogrammetric,28.0,"51,87117437",2009 Feb 14 12:00:00 AM,constructed,1001640016,"40,98766239917",POINT (-73.999133 40.715449)
"MULTIPOLYGON (((-74.011212143948 40.703352081332, -74.011195287747 40.703300231498, -74.01119050366 40.703285517599, -74.011212245374 40.703279748605, -74.011240971267 40.703368108531, -74.011437080048 40.703331182629, -74.011448988783 40.703435928086, -74.011253507929 40.703479312418, -74.011212143948 40.703352081332)))",Fraunces Tavern,1078965,299639,"408,05859375",1000070035,552.348,1.719,2.1,Photogrammetric,7.0,"47,83",2020 Jan 28 05:25:17 PM,constructed,1000070035,"105,84204825214",POINT (-74.011328 40.703398)
"MULTIPOLYGON (((-73.993343605555 40.713905528576, -73.993434837134 40.713898261289, -73.993443211256 40.713959121877, -73.993450134316 40.714009449108, -73.993451528627 40.714019581732, -73.993457699551 40.714064436517, -73.993466625914 40.714106042415, -73.993487382213 40.714256940351, -73.993454153663 40.714259586869, -73.993398696997 40.714264003409, -73.99339859172 40.714263473903, -73.993379703556 40.714167911535, -73.993371681885 40.714109603012, -73.993357198446 40.714004330685, -73.993344439292 40.713911589961, -73.993343605555 40.713905528576)))",,1003548,1097893,"545,66015625",1002820056,671.144,2.008,2.1,Other (Manual),37.0,46,2017 Aug 22 06:19:47 PM,constructed,1002827501,"126,16217729141",POINT (-73.993415 40.714082)
"MULTIPOLYGON (((-73.993938013994 40.71848036924, -73.99395209595 40.718452761242, -73.993982044928 40.718394049552, -73.993989323824 40.718379779549, -73.994019721378 40.718320186274, -73.994102529301 40.718344639393, -73.994006697531 40.718532513269, -73.993944268335 40.718514078363, -73.99392388941 40.718508060081, -73.993938013994 40.71848036924)))",,1005647,45390,"292,68359375",1004230027,726.603,1.9,2.1,Photogrammetric,36.0,"63,74",2017 Aug 22 07:33:16 PM,constructed,1004230027,"78,95453335507",POINT (-73.994013 40.718426)
"MULTIPOLYGON (((-73.991478864957 40.715010197086, -73.991532574023 40.714905970558, -73.991609368448 40.714928881565, -73.991555659483 40.715033108128, -73.991478864957 40.715010197086)))",,1003860,188972,"150,97265625",1002980037,491.231,1.91,2.1,Photogrammetric,40.0,"54,31",2017 Aug 22 07:12:29 PM,constructed,1002980037,"51,24139005025",POINT (-73.991544 40.71497)
"MULTIPOLYGON (((-74.005202431605 40.716977319978, -74.005363432957 40.716774501463, -74.005510512752 40.716842097621, -74.00543365365 40.716938915136, -74.005349505766 40.717044913639, -74.005314449887 40.717089072684, -74.005323858036 40.7170933965, -74.005427113412 40.717140851268, -74.005431858327 40.71714303208, -74.005259434045 40.717360228749, -74.00515143353 40.71731059481, -74.00508295241 40.717279121421, -74.004994934264 40.717238668953, -74.005163475163 40.717026363521, -74.005176498518 40.717009959241, -74.005188975136 40.716994260084, -74.005202431605 40.716977319978)))",,1001874,378538,"2.092,53125",1001730004,254.974,1.88,2.1,Other (Manual),22.0,86,2017 Aug 22 07:06:48 PM,constructed,1001737503,"227,99227250603",POINT (-74.005262 40.71709)
"MULTIPOLYGON (((-74.001870931123 40.707746850669, -74.001898065046 40.707732937324, -74.001990986517 40.707685292397, -74.00211746449 40.707833303587, -74.00212116735 40.707837635879, -74.001999820714 40.70789768415, -74.001870931123 40.707746850669)))",,1001340,749385,"427,85546875",1000970033,1.056.042,1.816,2.1,Photogrammetric,5.0,46,2020 Jan 28 05:15:42 PM,constructed,1000970033,"85,3126995583",POINT (-74.001996 40.707792)
